ProficiencyType,SkillCategory,SkillName,TotalLevels,LevelNumber,LevelName,LevelDescription
by_skill,technical,Java Programming,3,1,Beginner,Can write basic Java programs and understand core concepts
by_skill,technical,Java Programming,3,2,Intermediate,Can develop medium-sized applications using frameworks
by_skill,technical,Java Programming,3,3,Advanced,Can architect complex systems and optimize performance
by_category,behavioral,Team Management,4,1,Foundation,Can lead small team meetings and coordinate basic activities
by_category,behavioral,Team Management,4,2,Developing,Can effectively manage team dynamics and resolve conflicts
by_category,behavioral,Team Management,4,3,Proficient,Can lead multiple teams and handle complex deliverables
by_category,behavioral,Team Management,4,4,Expert,Can develop strategies and mentor other leaders
all_skills,technical,Data Analysis,3,1,Basic,Can perform basic data cleaning and create visualizations
all_skills,technical,Data Analysis,3,2,Proficient,Can use advanced statistical methods and create reports
all_skills,technical,Data Analysis,3,3,Expert,Can lead data initiatives and develop predictive models
